gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,occurrenceStatus,individualCount,decimalLatitude,decimalLongitude,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987223470,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987210653,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987207298,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987193392,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987191295,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987185619,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987157237,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987155181,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987116178,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987105593,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987101817,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987037123,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI N W OF MCKENZIE,Alabama,PRESENT,1,31.582417,-86.736599,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147495688,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 mi NW McKenzie on U.S. Rte. 31,Alabama,PRESENT,,31.5852,-86.7163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147495687,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 mi NW McKenzie on U.S. Rte. 31,Alabama,PRESENT,,31.5852,-86.7163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147494686,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 mi NW McKenzie on U.S. Rte. 31,Alabama,PRESENT,,31.5852,-86.7163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147492690,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 mi NW McKenzie on U.S. Rte. 31,Alabama,PRESENT,,31.5852,-86.7163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147476141,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 mi NW McKenzie on U.S. Rte. 31,Alabama,PRESENT,,31.5852,-86.7163,,,,,,,,,,,,,,,,,,,,,,,,,,,
